Ҳудуд ва банк номи,Банк номи,2024 йил Импорт шартнома сони,2024 йил Экспорт шартнома сони,2024 йил Импорт учун тўлов,2024 йил Экспорт тушуми,"Дебиторка 2024 йил 31 декабрь ҳолатига 
(минг долл)",2025 йил Ипморт шартнома сони,2025 йил Экспорт шартнома сони,2025 йил Импорт учун тўлов ,2025 йил Экспорт тушуми ,2025 йил ҳудуддаги банкларда экспорт шартнома сони,2025 йил ҳудуддаги банкларда экспорт тушум ,2025 йил ҳудуддаги банкларда импорт шартнома сони,2025 йил ҳудуддаги банкларда импорт тўлов ,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида  экспорт шартнома сони,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида  экспорт тушум,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида импорт шартнома сони,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида импорт тўлови ,"2025 йил бошқа ҳудудларда рўйҳатдан ўтган, ҳудуддаги банкларда экспорт шартнома сони","2025 йил Бошқа ҳудудларда рўйҳатдан ўтган,   ҳудуддаги банкларида экспорт тушуми ","2025 йил Бошқа ҳудудларда рўйҳатдан ўтган, ҳудуддаги банкларида импорт шартнома сони","2025 йил Бошқа ҳудудларда рўйҳатдан ўтган, ҳудуддаги банкларида импорт тўлови",2025 йил давомида  Россия Федерацияси Экспорт тушуми Шартнома сони,2025 йил давомида  Россия Федерацияси Экспорт тушуми Суммаси,2025 йил давомида  Россия Федерацияси Импорт тўлови Шартнома сони,2025 йил давомида  Россия Федерацияси Импорт тўлови Суммаси,2025 йил давомида  Хитой Экспорт тушуми Шартнома сони,2025 йил давомида  Хитой Экспорт тушуми Суммаси,2025 йил давомида  Хитой Импорт тўлови Шартнома сони,2025 йил давомида  Хитой Импорт тўлови Суммаси,2025 йил давомида  Қозиғистон Экспорт тушуми Шартнома сони,2025 йил давомида  Қозиғистон Экспорт тушуми Суммаси,2025 йил давомида  Қозиғистон Импорт тўлови Шартнома сони,2025 йил давомида  Қозиғистон Импорт тўлови Суммаси,2025 йил давомида  Бирлашган Араб Амирликлари Экспорт тушуми Шартнома сони,2025 йил давомида  Бирлашган Араб Амирликлари Экспорт тушуми Суммаси,2025 йил давомида  Бирлашган Араб Амирликлари Импорт тўлови Шартнома сони,2025 йил давомида  Бирлашган Араб Амирликлари Импорт тўлови Суммаси,2025 йил давомида  Туркия Экспорт тушуми Шартнома сони,2025 йил давомида  Туркия Экспорт тушуми Суммаси,2025 йил давомида  Туркия Импорт тўлови Шартнома сони,2025 йил давомида  Туркия Импорт тўлови Суммаси,2025 йил давомида  Бошқа давлатлар Экспорт тушуми Шартнома сони,2025 йил давомида  Бошқа давлатлар Экспорт тушуми Суммаси,2025 йил давомида  Бошқа давлатлар Импорт тўлови Шартнома сони,2025 йил давомида  Бошқа давлатлар Импорт тўлови Суммаси,"Дебиторка 2025 йил 31 декабрь ҳолатига 
(минг долл)",Белгиланган тоифа,2025 йилда ҳудуддаги улуши (фоизда),2025 йил давомида олинган банк даромади (минг сўмда),Мавжуд ходимлар,Банк манзили,Банк раҳбарлари,Банк раҳбарларининг тел рақами,,№,Сохалар,2025 йил экспорт сони,2025 йил экспорт сумма,2025 йил импорт сони,2025 йил импорт сумма,,№,Ҳудуд номи,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт  тушуми  Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Сони, Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Суммаси,,№,Банк номи,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт тушуми Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Сони,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Суммаси
Тошкент шаҳар банклари,,"16,507","4,002","3,083,265,916","1,206,264,585","379,653","13,667","3,551","2,908,593,726","1,126,759,725",1,"54,779",0,0,"3,550","1,126,704,946","13,667","2,908,593,726",0,0,0,0,"8,576","2,611,979,207","14,745","4,206,174,092","1,638","949,047,341","36,077","6,216,365,744","5,070","762,334,475","8,091","2,870,224,884","1,590","1,181,875,151","4,757","3,203,705,918","1,646","679,133,988","12,087","1,927,466,636","20,954","4,254,597,212","41,831","10,982,778,940","531,863",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Капиталбанк,Тошкент шаҳар банклари,226,68,"46,048,042","23,438,118","18,121",154,65,"31,926,771","24,337,151",,,,,825,"222,872,867","2,284","557,842,176",0,0,0,0,208,"62,165,714",445,"215,556,264",9,"2,309,266",444,"37,906,061",128,"33,752,380",174,"41,660,245",53,"28,729,947",114,"26,783,126",15,"1,286,716",186,"32,478,346",412,"94,628,844",921,"203,458,133","18,161",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ипак йўли банк,Тошкент шаҳар банклари,208,64,"29,641,897","17,898,768",571,163,67,"120,315,050","6,201,068",,,,,299,"56,205,215","1,392","437,142,416",0,0,0,0,19,"10,773,736",155,"44,846,582",14,"2,687,160",452,"44,255,964",55,"3,668,149",88,"77,415,434",11,"330,430",24,"81,938,414",14,"7,333,919",140,"17,493,440",186,"31,411,821",533,"171,192,583","2,247",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ипотека банк,Тошкент шаҳар банклари,132,156,"48,156,830","106,868,708","2,343",95,57,"18,107,104","9,797,245",,,,,321,"49,128,360","1,293","200,550,566",0,0,0,0,76,"16,310,385",88,"17,121,610",5,"504,983",585,"60,044,689",43,"4,054,848",58,"25,825,522",14,"8,427,366",25,"5,568,417",13,"1,747,938",93,"9,105,764",170,"18,082,840",444,"82,884,565",969,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Трастбанк,Тошкент шаҳар банклари,134,47,"19,393,776","7,621,928","3,055",393,78,"28,413,322","16,752,096",,,,,665,"454,302,649","2,765","427,389,070",0,0,0,0,215,"112,760,328",382,"29,974,809",22,"18,966,984",968,"94,382,225",84,"14,811,055",91,"9,472,549",17,"1,580,578",98,"81,057,547",30,"129,927,320",274,"36,387,156",297,"176,256,384",952,"176,114,783","13,121",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Капиталбанк,Тошкент шаҳар банклари,579,102,"78,351,420","232,376","2,581",593,189,"148,358,315","89,365,749",,,,,"1,801","504,641,372","4,903","1,121,585,948",0,0,0,0,680,"257,969,773",714,"183,059,088",58,"7,095,898","1,748","305,066,755",143,"9,359,143",430,"189,785,063",64,"30,829,563",115,"76,957,418",64,"13,499,797",476,"45,045,516",792,"185,887,198","1,420","321,672,107","23,776",,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ипотека банк,Тошкент шаҳар банклари,3,,"1,452,162",,240,5,8,"207,330","11,116",,,,,310,"791,653,995",393,"73,663,788",0,0,0,0,14,"479,945",49,"5,449,125",7,"474,528,736",97,"13,409,167",57,"11,795,458",29,"3,450,565",23,"196,517,052",16,"4,844,481",29,"35,336,290",45,"18,792,261",180,"72,996,513",157,"27,718,189",257,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ўзсаноатқурилишбанк,Тошкент шаҳар банклари,383,123,"115,211,984","25,041,515",0,457,134,"61,272,808","42,577,406",,,,,904,"286,873,936","2,434","525,501,411",0,0,0,0,133,"64,919,294",176,"37,199,399",78,"34,107,211",746,"171,125,967",62,"22,906,249",97,"100,553,834",36,"5,804,769",83,"16,476,176",87,"53,929,525",325,"43,177,661",508,"105,206,889","1,007","156,968,375","2,127",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Инфинбанк,Тошкент шаҳар банклари,63,38,"8,232,469","5,122,885","22,457",62,8,"6,824,548","3,110,072",,,,,175,"23,405,352",904,"152,011,239",0,0,0,0,13,"3,347,671",48,"7,143,937",8,"585,384",490,"57,350,320",52,"12,810,099",63,"57,631,826",2,"13,640",13,"1,776,362",6,"266,937",124,"10,956,853",94,"6,381,622",166,"17,151,941","23,000",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Гарант банк,Тошкент шаҳар банклари,547,113,"61,384,030","12,543,597","5,285",58,49,"22,789,353","39,823,494",,,,,708,"310,826,755","1,040","308,193,527",0,0,0,0,556,"236,035,422",68,"9,016,078",1,"895,127",225,"54,528,160",25,"3,936,334",49,"20,235,750",8,"18,939,529",47,"25,092,020",12,"2,667,931",142,"43,341,919",106,"48,352,412",509,"155,979,600","18,218",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ориент финанс банк,Тошкент шаҳар банклари,115,77,"26,246,177","63,670,433",104,83,66,"15,933,869","73,529,928",,,,,550,"134,731,028","1,376","151,881,905",0,0,0,0,120,"52,371,808",117,"49,721,110",12,"264,311",291,"26,041,273",92,"8,126,377",102,"12,054,280",12,"1,183,357",47,"8,109,081",28,"29,820,305",230,"13,988,687",286,"42,964,871",589,"41,967,473",69,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳамкорбанк,Тошкент шаҳар банклари,118,27,"24,668,927","7,980,594","6,965",178,43,"17,710,160","13,186,105",,,,,425,"73,880,855","1,647","208,736,393",0,0,0,0,78,"26,219,902",174,"7,607,759",13,"823,392",660,"60,978,846",43,"3,285,782",79,"27,411,558",20,"900,462",135,"63,095,556",12,"4,260,615",89,"6,800,386",259,"38,390,701",510,"42,842,287","1,236",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Асия аллианс банк,Тошкент шаҳар банклари,49,11,"6,960,613","1,845,485",4,38,7,"26,660,327","1,422,409",,,,,267,"19,787,472",658,"104,269,000",0,0,0,0,25,"7,369,800",85,"9,829,333",10,"245,740",200,"28,311,924",69,"3,717,399",34,"3,240,339",11,"819,972",21,"6,572,148",4,"77,726",40,"1,845,884",148,"7,556,835",278,"54,469,372",164,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Тошкент шаҳар банклари,163,94,"74,527,605","24,855,705",648,175,59,"35,450,111","26,863,602",,,,,252,"45,656,695",991,"501,313,457",0,0,0,0,47,"25,332,052",101,"55,601,205",20,"1,702,077",271,"37,354,873",31,"2,908,204",51,"28,032,326",9,"1,448,893",84,"113,981,851",12,"2,569,415",188,"13,178,368",133,"11,696,054",296,"253,164,834","3,748",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳамкорбанк,Тошкент шаҳар банклари,52,11,"5,727,125","2,881,784",70,138,6,"16,465,854","335,430",,,,,156,"19,670,315",419,"60,446,139",0,0,0,0,29,"7,727,869",29,"8,503,310",5,"270,040",146,"16,769,937",14,"833,975",7,"822,423",1,"51,200",3,"514,510",2,"45,960",80,"9,507,977",105,"10,741,270",154,"24,327,981",264,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Асия аллианс банк,Тошкент шаҳар банклари,456,89,"56,446,222","11,995,266","1,712",395,86,"60,878,697","10,387,152",,,,,"1,671","396,895,154","4,491","1,032,413,068",0,0,0,0,408,"88,768,283",773,"187,171,629",48,"3,362,756","1,174","161,888,529",210,"58,680,570",306,"89,385,876",34,"52,052,099",164,"141,304,258",93,"20,081,224",331,"77,463,581",878,"173,950,221","1,743","375,199,196","1,419",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Капиталбанк,Тошкент шаҳар банклари,366,208,"127,807,050","58,194,582","5,593",365,150,"65,071,241","32,676,597",,,,,"1,367","283,807,729","4,436","677,042,015",0,0,0,0,449,"91,577,139",734,"181,531,482",44,"14,891,050","1,250","135,597,862",192,"13,981,209",226,"23,112,877",72,"5,653,447",307,"71,996,246",28,"39,773,451",327,"29,936,626",582,"117,931,432","1,592","234,866,921","6,661",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Капиталбанк,Тошкент шаҳар банклари,193,47,"17,923,359","17,727,387",745,168,59,"11,681,632","16,921,317",,,,,"1,222","67,955,456","1,871","322,143,784",0,0,0,0,246,"38,354,476",295,"168,738,787",59,"628,551",512,"19,626,134",95,"3,422,551",108,"18,849,861",47,"7,519,100",57,"50,124,245",43,"646,379",176,"11,869,041",732,"17,384,400",723,"52,935,716",840,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Тошкент шаҳар банклари,45,40,"7,119,493","4,074,108","10,444",61,53,"6,198,982","9,248,967",,,,,88,"27,347,744",239,"45,371,426",0,0,0,0,27,"13,725,011",60,"11,326,680",3,"1,127,842",67,"10,707,223",10,"381,925",6,"58,158",7,"957,699",3,"256,133",11,"1,520,846",31,"7,193,705",30,"9,634,421",72,"15,829,527","12,548",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳамкорбанк,Тошкент шаҳар банклари,8,2,"168,768",0,141,15,11,"44,110,460","4,126,167",,,,,100,"43,063,350",270,"125,931,632",0,0,0,0,10,"6,773,276",23,"10,411,637",5,"29,797",54,"4,919,283",30,"14,018,853",98,"36,665,230",7,"1,967,196",9,"17,187,778",10,"1,059,727",38,"5,499,578",38,"19,214,501",48,"51,248,127",141,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ипак йўли банк,Тошкент шаҳар банклари,519,202,"56,254,506","131,049,872","2,865",508,281,"67,149,798","55,084,985",,,,,"2,258","171,749,473","3,463","666,369,609",0,0,0,0,380,"37,871,551",397,"101,109,772",74,"1,920,421",863,"76,827,141",263,"21,104,268",149,"15,734,293",75,"5,006,761",166,"151,729,320",68,"9,671,022",343,"41,834,803","1,398","96,175,450","1,545","279,134,280","4,694",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
КДБ Банк,Тошкент шаҳар банклари,294,101,"46,413,296","36,252,738",337,307,112,"69,473,972","27,218,834",,,,,"1,834","464,467,964","4,282","2,776,466,920",0,0,0,0,62,"52,358,882",257,"91,700,251",60,"12,700,477",713,"1,233,763,189",165,"66,422,446",257,"110,450,985",127,"46,361,848",343,"116,175,547",65,"12,272,335",189,"34,009,595","1,355","274,351,975","2,523","1,190,367,353","1,497",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Давр банк,Тошкент шаҳар банклари,117,75,"6,099,614","20,966,798","6,241",107,63,"6,138,297","6,333,215",,,,,314,"33,709,446",885,"74,544,783",0,0,0,0,45,"9,777,294",93,"8,269,148",15,"1,815,684",356,"35,476,965",65,"2,243,903",56,"3,727,628",6,"353,153",16,"1,299,085",27,"2,648,371",96,"6,032,153",156,"16,871,041",268,"19,739,803","5,350",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ипотека банк,Тошкент шаҳар банклари,34,8,"13,516,708","2,152,388","5,851",29,12,"6,985,769","1,595,478",,,,,117,"6,170,726",533,"136,063,608",0,0,0,0,13,"444,596",60,"11,205,281",4,"1,597,358",139,"7,948,504",19,"1,698,641",24,"1,119,436",3,"40,466",104,"15,015,299",11,"197,673",45,"28,967,520",67,"2,191,993",161,"71,807,568","5,591",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Зираат банк,Тошкент шаҳар банклари,226,121,"32,031,245","44,275,438","4,601",243,79,"22,560,830","54,368,649",,,,,591,"214,287,069","1,987","422,416,117",0,0,0,0,97,"62,619,980",49,"5,732,746",17,"3,503,859",403,"54,451,522",90,"9,282,772",130,"37,721,371",14,"41,765,124",36,"11,482,052",104,"45,646,452","1,033","124,385,021",269,"51,468,882",336,"188,643,405","3,113",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Тене банк,Тошкент шаҳар банклари,386,92,"234,259,733","4,142,214",581,303,44,"225,242,309","5,276,628",,,,,777,"209,367,601","3,114","1,108,373,250",0,0,0,0,85,"21,357,289",137,"49,571,163",12,"173,796",819,"235,752,980",191,"33,424,183",620,"321,203,598",37,"4,482,423",78,"41,789,878",47,"28,796,095",621,"125,486,485",405,"121,133,814",839,"334,569,148","6,464",,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Мадад инвест банк,Тошкент шаҳар банклари,4,2,"740,366",0,0,8,3,"241,323","4,356,021",,,,,50,"16,665,025",172,"15,047,396",0,0,0,0,6,"1,338,735",33,"1,777,775",4,"777,897",58,"3,725,653",2,"3,519,484",12,"586,905",5,"1,316,512",1,"482,423",14,"5,905,273",11,"4,328,345",19,"3,807,124",57,"4,146,296",81,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Трастбанк,Тошкент шаҳар банклари,791,74,"68,003,484","19,249,382","1,459",883,65,"84,425,712","29,240,223",,,,,149,"41,223,089","1,853","209,576,294",0,0,0,0,22,"4,976,759",78,"19,346,123",5,"137,609","1,395","122,643,897",21,"2,456,042",46,"13,482,078",6,"6,971,760",13,"10,530,737",5,"1,078,551",71,"8,319,132",90,"25,602,368",250,"35,254,326","1,806",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ориент финанс банк,Тошкент шаҳар банклари,42,17,"7,184,982","1,563,039","2,410",18,6,"1,056,074","359,548",,,,,464,"64,018,400",952,"114,902,851",0,0,0,0,102,"11,189,410",129,"17,890,032",9,"164,523",194,"8,118,505",77,"4,814,942",57,"9,578,184",20,"536,133",37,"8,718,375",42,"4,038,843",102,"7,995,117",214,"43,274,548",433,"62,602,639","1,095",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Капиталбанк,Тошкент шаҳар банклари,518,73,"116,745,192","15,606,918","3,129",313,58,"162,438,588","22,236,705",,,,,397,"117,185,153","2,386","883,803,215",0,0,0,0,84,"41,116,830",378,"331,104,612",21,"543,920",928,"105,879,628",68,"15,608,761",137,"183,946,994",12,"4,785,766",62,"34,369,327",18,"18,693,024",169,"16,552,418",194,"36,436,853",712,"211,950,237","6,830",,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Тошкент шаҳар банклари,41,5,"36,313,745","133,802",322,59,3,"153,344,469","613,598",,,,,146,"37,273,412",799,"452,571,788",0,0,0,0,29,"3,367,754",140,"36,466,804",8,"1,194,124",153,"8,172,565",32,"1,658,519",68,"58,042,217",8,"3,107,615",29,"106,963,465",4,"2,907,968",117,"18,871,138",65,"25,037,432",292,"224,055,600",100,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ипак йўли банк,Тошкент шаҳар банклари,96,43,"8,690,363","10,862,821",335,132,59,"11,689,423","7,751,018",,,,,678,"43,937,862","1,450","264,820,894",0,0,0,0,109,"10,375,211",202,"30,629,474",65,"1,046,588",556,"44,356,605",73,"8,165,216",49,"38,621,946",35,"2,232,057",61,"10,964,406",22,"692,726",99,"12,622,366",374,"21,426,066",483,"127,626,098",204,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ипотека банк,Тошкент шаҳар банклари,"2,561",56,"335,339,910","11,794,573","5,147",694,30,"45,019,111","4,854,347",,,,,258,"18,757,338","1,590","210,006,241",0,0,0,0,39,"5,027,612",435,"43,530,229",16,"736,280",366,"42,717,757",56,"1,713,318",123,"7,056,526",3,"94,430",57,"25,157,958",9,"2,527,088",121,"9,809,876",135,"8,658,611",488,"81,733,894","109,320",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Давр банк,Тошкент шаҳар банклари,52,11,"1,177,955","1,303,735",915,61,5,"10,755,211","1,007,587",,,,,124,"10,576,380",664,"67,745,738",0,0,0,0,14,"689,736",91,"9,331,114",7,"254,516",231,"15,523,191",14,"1,234,643",10,"141,070",2,"846,104",41,"6,044,045",10,"806,623",62,"3,463,193",77,"6,744,758",229,"33,243,126","1,443",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Асакабанк,Тошкент шаҳар банклари,26,34,"4,957,164","48,232,576",363,21,27,"4,051,029","10,142,333",,,,,244,"120,595,202",591,"144,941,030",0,0,0,0,64,"48,409,641",72,"24,976,276",4,"265,903",238,"19,756,862",35,"3,669,856",16,"1,805,771",7,"1,766,295",15,"9,657,954",6,"1,021,530",55,"5,421,331",128,"65,461,976",195,"83,322,836",160,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Капиталбанк,Тошкент шаҳар банклари,605,43,"81,263,323","2,662,043","19,437",247,36,"53,812,434","4,949,640",,,,,931,"167,047,974","2,886","1,182,363,463",0,0,0,0,169,"63,180,410",568,"115,373,332",49,"5,235,702",599,"137,054,544",122,"37,600,772",284,"222,969,726",37,"5,399,425",94,"78,650,145",12,"269,424",173,"25,806,172",542,"55,362,241","1,168","602,509,543","18,400",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Капиталбанк,Тошкент шаҳар банклари,354,79,"45,286,214","20,846,715","13,386",314,86,"62,075,760","34,359,267",,,,,408,"88,838,160","2,116","546,864,280",0,0,0,0,93,"25,864,565",304,"121,301,867",9,"191,567",559,"99,553,174",84,"17,828,834",176,"77,495,627",7,"1,134,166",69,"22,367,326",14,"585,185",372,"99,329,272",201,"43,233,843",636,"126,817,015","12,562",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Тошкент шаҳар банклари,151,16,"11,342,830","2,246,595","2,349",47,11,"5,231,011","889,740",,,,,93,"24,968,482",465,"79,750,917",0,0,0,0,15,"8,933,094",81,"16,077,282",2,"28,949",145,"31,136,954",24,"7,774,762",74,"8,221,311",1,"17,950",12,"797,825",3,"2,183,899",25,"3,359,547",48,"6,029,829",128,"20,157,998","2,363",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Тошкент шаҳар банклари,23,2,"2,358,568",0,3,39,12,"25,935,824","8,342,142",,,,,720,"1,567,458,787","2,219","1,176,839,763",0,0,0,0,82,"39,924,486",90,"122,385,988",110,"221,482,503",212,"110,945,448",98,"3,038,848",99,"88,084,277",48,"361,095,734",158,"97,735,204",50,"10,156,698",119,"31,238,805",332,"931,760,517","1,541","726,450,040",226,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Давр банк,Тошкент шаҳар банклари,39,11,"9,288,238","1,235,029","1,854",54,16,"34,569,755","2,591,619",,,,,74,"13,942,133",458,"83,930,309",0,0,0,0,8,"4,530,988",38,"10,187,095",2,"15,600",181,"57,018,749",7,"2,425,328",17,"3,007,588",1,"11,900",9,"128,829",2,"302,033",50,"3,889,391",54,"6,656,285",163,"9,698,658",967,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Тошкент шаҳар банклари,33,45,"2,009,244","2,756,537","1,860",51,37,"4,256,760","49,482,419",,,,,278,"75,562,891",506,"35,691,916",0,0,0,0,19,"1,157,297",36,"3,609,922",7,"916,316",211,"17,400,006",34,"7,669,913",29,"1,729,303",8,"708,211",10,"1,574,571",21,"2,152,667",69,"4,423,787",189,"62,958,487",151,"6,954,327","1,971",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Асакабанк,Тошкент шаҳар банклари,39,12,"5,829,941","2,682,179","38,359",50,28,"12,117,232","2,432,992",,,,,328,"101,828,232",594,"114,057,255",0,0,0,0,167,"68,500,150",58,"8,202,177",4,"207,324",112,"9,894,998",28,"13,626,884",19,"2,224,829",8,"861,542",21,"13,819,295",22,"2,812,873",91,"17,365,091",99,"15,819,459",293,"62,550,864","21,551",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Алоқабанк,Тошкент шаҳар банклари,130,43,"29,324,744","7,150,581","2,438",233,42,"19,676,313","4,542,653",,,,,618,"89,557,827","1,658","564,785,001",0,0,0,0,91,"12,629,277",168,"31,869,167",28,"3,283,190",426,"104,982,972",81,"4,905,708",85,"7,639,123",40,"11,935,434",61,"10,145,857",7,"427,729",101,"14,646,946",371,"56,376,488",817,"395,500,937","1,351",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Тошкент шаҳар банклари,150,54,"107,593,743","9,301,757","4,936",127,42,"11,541,822","24,435,824",,,,,303,"162,886,462","1,545","276,389,590",0,0,0,0,58,"29,577,920",248,"12,490,577",13,"1,572,438",420,"45,054,909",43,"38,910,714",88,"20,793,204",10,"1,143,559",24,"4,741,990",15,"3,597,687",177,"23,093,078",164,"88,084,145",588,"170,215,833","2,364",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Капиталбанк,Тошкент шаҳар банклари,315,128,"33,542,410","22,114,110","7,191",399,84,"135,084,812","24,806,206",,,,,"2,567","221,886,132","5,374","1,002,948,126",0,0,0,0,609,"80,004,386","1,051","233,340,903",78,"11,355,669","1,209","267,617,554",234,"29,071,604",415,"66,102,029",123,"14,093,384",289,"91,497,060",89,"5,679,101",321,"38,075,667","1,434","81,681,988","2,089","306,314,913","6,473",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Тошкент шаҳар банклари,65,13,"8,268,357","1,729,904","17,366",58,14,"44,220,133","2,510,929",,,,,471,"34,886,398",603,"569,747,977",0,0,0,0,62,"3,058,296",99,"59,311,192",27,"7,465,989",70,"16,528,564",64,"87,249",12,"10,594,255",65,"6,861,956",224,"368,956,144",6,"37,098",21,"25,564,964",247,"17,375,810",177,"88,792,857","15,746",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Тошкент шаҳар банклари,26,3,"2,006,328",0,0,37,3,"3,753,930","660,360",,,,,243,"63,576,903",916,"174,196,820",0,0,0,0,40,"28,479,215",121,"38,115,145",8,"388,594",296,"34,915,592",23,"17,139,674",81,"4,550,691",8,"377,508",36,"14,171,211",17,"3,188,466",99,"10,248,839",147,"14,003,447",283,"72,195,343",10,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Трастбанк,Тошкент шаҳар банклари,78,23,"50,266,100","4,631,181","8,204",62,15,"19,619,357","3,773,500",,,,,136,"9,107,901",469,"87,230,606",0,0,0,0,31,"1,858,384",49,"12,815,782",6,"3,253,066",123,"5,927,168",21,"730,866",64,"11,974,152",10,"908,157",23,"8,219,746",4,"45,824",46,"18,847,274",64,"2,311,604",164,"29,446,484","9,118",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
