Tuman nomi;Bank nomi;Bank MFo;VASHlar soni;2024 yil davomida Soni;2024 yil davomida Summasi; 2024 Õududdagi ulushi foizda;2024 Belgilangan toifa;2025 yil davomida Soni;2025 yil davomida Summasi;2025 Õududdagi ulushi foizda;2025 Belgilangan toifa;2024 yilda Sotuv Soni;2024 yilda Sotuv Summa;2024 yilda xarid Soni;2024 yilda xarid Summa;2025 yilda Sotuv Soni;2025 yilda Sotuv Summa;2025 yilda xarid Soni;2025 yilda xarid Summa; Farqi xarid Soni;Farqi xarid Summa;Farqi Sotuv Soni;Farqi Sotuv Summa;"Daromadi 
(ming so'mda)";Belgilangan toifa; VASh Manzili;Avtovash Bank;Avtovash filiali;Avtovash tuman;Avtovash Soni;Avtovash Manzili
ZANGIOTA TUMANI;;;21;124 556;103 487 695;10,76%;Samarador;126 668;128 698 428;11%;Samarador;72 582;62 848 196;58 600;40 646 125;68 705;68 979 542;64 589;59 725 512;2 749;6 137 972;12 615;19 086 013;5 707 914;Samarador;;Infin bank;Zagiota filiali;ZANGIOTA TUMANI;1;Zangiota tumani Eshonguzar, Mustakillik kuchasi
;Garant bank;12091;2;13 750;6 839 849;;;16 501;10 758 514;8%;;6 998;2 660 784;6 752;4 179 065;7 637;2 842 854;8 864;7 915 660;639;182 070;2 112;3 736 595;636 567;Barqaror;Zangiota tumani, Eshonguzar kurgoni, Mustakillik k., 4;Infin bank;Zagiota filiali;ZANGIOTA TUMANI;1;Zangiota tumani, Bek baraka bozori. 
;Infin bank;1080;2;23 532;16 323 319;;;17 345;13 391 027;10%;;15 861;9 740 068;7 671;6 583 252;10 680;7 963 720;6 665;5 427 307;-5 181;-1 776 347;-1 006;-1 155 945;970 427;Barqaror;Zangiota tumani, Eshonguzar kurgoni, Mustakillik k.;Infin bank;Toshkent viloyat filiali;CHIRCHIQ SHAHRI;1;Chirchik sh, A.Navoi kuchasi 181A 
;Ipoteka bank;1130;3;31 469;17 079 639;;;33 563;18 474 091;14%;;14 857;9 036 800;16 612;8 042 839;15 684;7 775 523;17 879;10 698 568;827;-1 261 277;1 267;2 655 729;1 540 198;Samarador;" Zangiota tumani, Zangiota k.f.y., ""Urta"" m.f.y., A.Temur k., 178";Infin bank;Toshkent viloyat filiali;CHIRCHIQ SHAHRI;1;Chirchik sh, Yumalok, Voxid Kadirov kuchasi, 207
;Turonbank;1019;4;14 817;17 391 714;;;16 199;20 210 913;16%;;7 948;9 175 543;6 869;8 216 171;7 410;9 274 521;8 789;10 936 392;-538;98 978;1 920;2 720 221;355 200;Barqaror;Zangiota tumani, Eshonguzar kurg., Mustakillik k.;Infin bank;Toshkent viloyat filiali;QIBRAY TUMANI;1; Qibray tumani, Zebinuso kuchasi 7A  
;Milliy bank;12242;1;0;0;;;250;358 896;0%;;;;;;138;281 823;112;77 073;138;281 823;112;77 073;;Samaradorligi past;Zangiota tumani, Bogzor MFY, Bogzor k., 1A;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyo'l tumani, Samarqand ko'chasi, 146 uy
;Õalq banki;11579;2;7 458;799 032;;;7 242;466 059;0%;;6 834;80 487;7 250;725 171;6 869;83 274;6 999;389 411;6 661;9 413;6 375;-329 134;230 178;O'rtacha;Zangiota tumani, Eshonguzar mavzesi, Mustakillik k., 22;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyo'l tumani, Farxod fayli mahallasi, Beruniy 30 A/1 uy
;Trast bank ;;1;5 092;20 611 105;;;6 612;26 349 229;20%;;4 143;19 164 631;949;1 446 474;5 050;20 925 056;1 562;5 424 173;907;1 760 425;613;3 977 699;;O'rtacha;Zangiota tumani, Erkin, Arkbo'loq savdo komp ;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyo'l tumani, Samarqand ko'chasi, 146 uy
;OFB;;4;9 659;5 843 040;;;6 210;4 780 691;4%;;4 972;2 262 920;4 687;3 580 120;3 042;2 263 236;3 168;2 517 455;-1 930;316;-1 519;-1 062 665;;O'rtacha; Zangiota tumani, Eshonguzar QFY, Mustaqillik ko‘chasi, 17A-uy;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyo'l tumani, Dexqon bozori
;Aziya Alians Bank;;0;1 137;5 166 813;;;380;1 362 172;1%;;1 133;5 166 513;4;300;379;1 362 072;1;100;-754;-3 804 441;-3;-200;;Samaradorligi past;Zangiota tumani, Erkin q/h, Tariq teshar MFY, Yog'du ko'chasi, 101-uy ;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyo'l tumani, Dexqon bozori
;Universal bank;11853;2;17 642;13 433 183;;;22 366;32 546 835;25%;;9 836;5 560 449;7 806;7 872 734;11 816;16 207 462;10 550;16 339 374;1 980;10 647 013;2 744;8 466 640;1 975 344;Barqaror;Zangiota tumani, Eshonguzar MFY, Mustakillik k., 24;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyo'l tumani, Samarqand ko'chasi, 146 uy
QIBRAY TUMANI;;;12;106 689;62 459 086;6,50%;Barqaror;114 548;74 017 417;7%;Barqaror;59 711;36 271 518;46 978;26 187 568;65 579;44 336 782;48 969;29 680 636;5 868;8 065 264;1 991;3 493 067;3 755 869;Barqaror;;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L SHAHRI;1;Yangiyo'l shahri, Samarqand ko'chasi, 1-poliklinika qarshisida avto bekat
;Infin bank;1056;2;35 929;23 914 788;;;33 586;21 905 308;30%;;22 200;15 898 787;13 729;8 016 002;21 520;15 337 540;12 066;6 567 768;-680;-561 247;-1 663;-1 448 234;1 856 947;Samarador;Qibray tumani, Qibray shahri, Zebuniso k., 7-a;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L SHAHRI;1;Yangiyo'l shahri, Samarqand ko'chasi, 1-poliklinika qarshisida avto bekat
;Garant bank;12097;2;18 290;8 803 848;;;20 121;11 030 104;15%;;9 101;4 819 132;9 189;3 984 716;9 726;4 910 355;10 395;6 119 748;625;91 223;1 206;2 135 032;;Barqaror;Qibray tumani, Zebiniso MFY, Zebiniso k., 2;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyo'l tumani, Samarqand ko'chasi, 146 uy
;SQB;11202;5;41 101;22 790 918;;;40 959;26 728 076;36%;;21 318;10 977 885;19 783;11 813 033;21 258;12 835 536;19 701;13 892 540;-60;1 857 651;-82;2 079 507;1 571 249;Samarador; Qibray tumani, Zebiniso k., 7;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyo'l tumani, Samarqand ko'chasi, 146 uy
